index,player_name,salary,age,games_played,minutes_played,field_goal_percent,three_point_percent,two_point_percent,effective_field_goal,free_throw_percent,total_rebounds,assist,steal,blocking,points
157,Ben Simmons,6168840,21,81.00,2732.00,0.55,0.00,0.55,0.55,0.56,659.00,661.00,140.00,70.00,1279.00
158,Joel Embiid,6100266,23,63.00,1912.00,0.48,0.31,0.53,0.51,0.77,690.00,199.00,40.00,111.00,1445.00
159,Ish Smith,6000000,29,82.00,2043.00,0.49,0.35,0.51,0.51,0.70,224.00,360.00,64.00,20.00,894.00
160,Shelvin Mack,6000000,27,69.00,1365.00,0.43,0.35,0.47,0.49,0.71,166.00,272.00,54.00,8.00,473.00
161,Milos Teodosic,6000000,30,45.00,1134.00,0.42,0.38,0.49,0.54,0.85,126.00,209.00,23.00,5.00,429.00
162,Ersan Ilyasova,6000000,30,46.00,1152.67,0.45,0.36,0.51,0.52,0.77,270.00,60.00,40.67,17.33,500.00
164,Dewayne Dedmon,6000000,28,62.00,1542.00,0.52,0.36,0.60,0.58,0.78,489.00,90.00,40.00,51.00,617.00
165,Tyler Johnson,5881260,25,72.00,2052.00,0.44,0.37,0.49,0.52,0.82,248.00,165.00,60.00,34.00,843.00
166,Wesley Johnson,5881260,30,74.00,1486.00,0.41,0.34,0.47,0.49,0.74,216.00,61.00,76.00,62.00,403.00
167,Alex Abrines,5725000,24,75.00,1134.00,0.40,0.38,0.44,0.54,0.85,114.00,28.00,38.00,8.00,353.00
168,Jayson Tatum,5645400,19,80.00,2438.00,0.48,0.43,0.49,0.54,0.83,402.00,128.00,83.00,58.00,1112.00
169,D'Angelo Russell,5562360,21,48.00,1234.00,0.41,0.32,0.48,0.48,0.74,189.00,249.00,36.00,17.00,743.00
170,Brandon Ingram,5519400,20,59.00,1975.00,0.47,0.39,0.48,0.50,0.68,314.00,230.00,45.00,43.00,949.00
171,Patrick Beverley,5513514,29,11.00,334.00,0.40,0.40,0.41,0.50,0.82,45.00,32.00,19.00,5.00,134.00
172,Aaron Gordon,5504420,22,58.00,1909.00,0.43,0.34,0.50,0.50,0.70,457.00,136.00,59.00,45.00,1022.00
173,Thabo Sefolosha,5250000,33,38.00,806.00,0.49,0.38,0.55,0.56,0.82,161.00,33.00,52.00,12.00,312.00
174,Jason Smith,5225000,31,33.00,285.00,0.39,0.13,0.49,0.41,0.91,53.00,14.00,3.00,13.00,113.00
175,Ben McLemore,5200000,24,56.00,1091.00,0.42,0.35,0.48,0.50,0.83,139.00,51.00,38.00,15.00,422.00
